Datos enviados correctamente: ip=192.168.162.11, client_id=19216816211, tiempo=2025-03-02 16:20:01, medida=0.04
Datos enviados correctamente: ip=192.168.162.11, client_id=19216816211, tiempo=2025-03-02 16:21:01, medida=0.07
Datos enviados correctamente: ip=192.168.162.12, client_id=19216816212, tiempo=2025-03-02 16:21:01, medida=0.05
Datos enviados correctamente: ip=192.168.162.13, client_id=19216816213, tiempo=2025-03-02 16:21:01, medida=0.11
Datos enviados correctamente: ip=192.168.162.11, client_id=19216816211, tiempo=2025-03-02 16:22:01, medida=0.09
Datos enviados correctamente: ip=192.168.162.13, client_id=19216816213, tiempo=2025-03-02 16:22:01, medida=0.07
Datos enviados correctamente: ip=192.168.162.11, client_id=19216816211, tiempo=2025-03-02 16:23:02, medida=0.03
Datos enviados correctamente: ip=192.168.162.12, client_id=19216816212, tiempo=2025-03-02 16:23:01, medida=0.08
Datos enviados correctamente: ip=192.168.162.13, client_id=19216816213, tiempo=2025-03-02 16:23:02, medida=0.12
Datos enviados correctamente: ip=192.168.162.11, client_id=19216816211, tiempo=2025-03-02 16:24:01, medida=0.15
Datos enviados correctamente: ip=192.168.162.12, client_id=19216816212, tiempo=2025-03-02 16:24:01, medida=0.08
Datos enviados correctamente: ip=192.168.162.13, client_id=19216816213, tiempo=2025-03-02 16:24:01, medida=0.1
